year,municipality_code,municipality,federal_unit,misfs,n_upf,n_upf_per,n_monitored
2022,130002,ALVARÃES,AM,D,30,81.08108108108108,37
2022,130006,AMATURÁ,AM,D,282,82.69794721407625,341
2022,130008,ANAMÃ,AM,D,215,88.84297520661157,242
2022,130010,ANORI,AM,D,52,91.22807017543859,57
2022,130014,APUÍ,AM,D,165,95.93023255813954,172
2022,130030,AUTAZES,AM,D,934,81.3588850174216,1148
2022,130060,BENJAMIN CONSTANT,AM,D,14,100,14
2022,130068,BOA VISTA DO RAMOS,AM,D,360,82.1917808219178,438
2022,130080,BORBA,AM,D,52,33.12101910828025,157
2022,130083,CAAPIRANGA,AM,D,134,83.75,160
2022,130110,CAREIRO,AM,D,281,87.53894080996885,321
2022,130115,CAREIRO DA VÁRZEA,AM,D,291,96.35761589403974,302
2022,130120,COARI,AM,D,144,83.72093023255815,172
2022,130130,CODAJÁS,AM,D,503,80.60897435897436,624
2022,130150,ENVIRA,AM,D,379,74.60629921259843,508
2022,130160,FONTE BOA,AM,D,46,97.87234042553192,47
2022,130165,GUAJARÁ,AM,D,296,93.37539432176656,317
2022,130180,IPIXUNA,AM,D,30,90.9090909090909,33
2022,130190,ITACOATIARA,AM,D,610,85.07670850767084,717
2022,130200,ITAPIRANGA,AM,D,33,94.28571428571428,35
2022,130260,MANAUS,AM,D,9353,80.7894964153062,11577
2022,130310,NOVA OLINDA DO NORTE,AM,D,453,83.73382624768946,541
2022,130330,NOVO ARIPUANÃ,AM,D,29,67.44186046511628,43
2022,130350,PAUINI,AM,D,54,100,54
2022,130356,RIO PRETO DA EVA,AM,D,243,68.83852691218131,353
2022,130370,SANTO ANTÔNIO DO IÇÁ,AM,D,1291,89.46638946638946,1443
2022,130390,SÃO PAULO DE OLIVENÇA,AM,D,467,95.89322381930184,487
2022,130400,SILVES,AM,D,10,100,10
2022,130420,TEFÉ,AM,D,31,46.26865671641791,67
2022,130430,URUCARÁ,AM,D,51,77.27272727272727,66
2022,160015,PEDRA BRANCA DO AMAPARI,AP,D,53,81.53846153846153,65
2022,160025,ITAUBAL,AP,D,65,100,65
2022,160027,LARANJAL DO JARI,AP,D,12,80,15
2022,160030,MACAPÁ,AP,D,379,93.34975369458128,406
2022,160040,MAZAGÃO,AP,D,17,100,17
2022,160070,TARTARUGALZINHO,AP,D,92,92.92929292929293,99
2022,320010,AFONSO CLÁUDIO,ES,B,216,79.41176470588235,272
2022,320020,ALEGRE,ES,B,10,76.92307692307693,13
2022,320060,ARACRUZ,ES,B,40,97.5609756097561,41
2022,320080,BAIXO GUANDU,ES,B,69,47.91666666666667,144
2022,320115,BREJETUBA,ES,B,119,93.7007874015748,127
2022,320130,CARIACICA,ES,B,2189,84.45216049382715,2592
2022,320240,GUARAPARI,ES,B,184,83.63636363636363,220
2022,320245,IBATIBA,ES,B,23,85.18518518518519,27
2022,320260,ICONHA,ES,B,12,80,15
2022,320265,IRUPI,ES,B,234,87.64044943820225,267
2022,320270,ITAGUAÇU,ES,B,171,84.65346534653465,202
2022,320305,JAGUARÉ,ES,B,10,76.92307692307693,13
2022,320313,JOÃO NEIVA,ES,B,51,89.47368421052632,57
2022,320332,MARATAÍZES,ES,B,217,83.78378378378379,259
2022,320334,MARECHAL FLORIANO,ES,B,25,92.5925925925926,27
2022,320340,MIMOSO DO SUL,ES,B,89,77.39130434782608,115
2022,320380,MUQUI,ES,B,70,92.10526315789474,76
2022,320390,NOVA VENÉCIA,ES,B,1060,77.99852832965416,1359
2022,320425,PONTO BELO,ES,B,169,80.47619047619048,210
2022,320430,PRESIDENTE KENNEDY,ES,B,41,46.06741573033708,89
2022,320435,RIO BANANAL,ES,B,13,92.85714285714286,14
2022,320455,SANTA MARIA DE JETIBÁ,ES,B,345,93.4959349593496,369
2022,320480,SÃO JOSÉ DO CALÇADO,ES,B,132,88.59060402684564,149
2022,320500,SERRA,ES,B,22,78.57142857142857,28
2022,320501,SOORETAMA,ES,B,134,93.7062937062937,143
2022,320503,VARGEM ALTA,ES,B,530,82.94209702660407,639
2022,320506,VENDA NOVA DO IMIGRANTE,ES,B,62,74.69879518072288,83
2022,320510,VIANA,ES,B,24,100,24
2022,320515,VILA PAVÃO,ES,B,266,74.09470752089136,359
2022,310010,ABADIA DOS DOURADOS,MG,B,10,100,10
2022,310020,ABAETÉ,MG,B,404,86.32478632478633,468
2022,310030,ABRE CAMPO,MG,B,198,93.39622641509435,212
2022,310040,ACAIACA,MG,B,42,93.33333333333333,45
2022,310050,AÇUCENA,MG,B,152,86.36363636363636,176
2022,310060,ÁGUA BOA,MG,B,113,84.9624060150376,133
2022,310070,ÁGUA COMPRIDA,MG,B,33,91.66666666666666,36
2022,310080,AGUANIL,MG,B,61,100,61
2022,310090,ÁGUAS FORMOSAS,MG,B,102,75,136
2022,310100,ÁGUAS VERMELHAS,MG,B,445,92.90187891440502,479
2022,310110,AIMORÉS,MG,B,82,97.61904761904762,84
2022,310120,AIURUOCA,MG,B,81,81,100
2022,310130,ALAGOA,MG,B,33,75,44
2022,310140,ALBERTINA,MG,B,43,82.6923076923077,52
2022,310150,ALÉM PARAÍBA,MG,B,293,86.1764705882353,340
2022,310163,ALFREDO VASCONCELOS,MG,B,53,92.98245614035088,57
2022,310170,ALMENARA,MG,B,60,39.21568627450981,153
2022,310190,ALPINÓPOLIS,MG,B,74,85.0574712643678,87
2022,310200,ALTEROSA,MG,B,231,91.30434782608695,253
2022,310205,ALTO CAPARAÓ,MG,B,151,98.69281045751634,153
2022,310210,ALTO RIO DOCE,MG,B,46,93.87755102040816,49
2022,310220,ALVARENGA,MG,B,14,82.35294117647058,17
2022,310230,ALVINÓPOLIS,MG,B,194,90.65420560747664,214
2022,310240,ALVORADA DE MINAS,MG,B,25,92.5925925925926,27
2022,310250,AMPARO DO SERRA,MG,B,50,96.15384615384616,52
2022,310260,ANDRADAS,MG,B,451,87.2340425531915,517
2022,310270,CACHOEIRA DE PAJEÚ,MG,B,246,96.09375,256
2022,310280,ANDRELÂNDIA,MG,B,225,87.54863813229572,257
2022,310285,ANGELÂNDIA,MG,B,231,89.53488372093024,258
2022,310290,ANTÔNIO CARLOS,MG,B,174,89.69072164948454,194
2022,310300,ANTÔNIO DIAS,MG,B,288,90.56603773584906,318
2022,310320,ARAÇAÍ,MG,B,12,100,12
2022,310340,ARAÇUAÍ,MG,B,93,83.03571428571429,112
2022,310350,ARAGUARI,MG,B,350,42.32164449818622,827
2022,310370,ARAPONGA,MG,B,37,58.730158730158735,63
2022,310375,ARAPORÃ,MG,B,34,87.17948717948718,39
2022,310380,ARAPUÁ,MG,B,46,95.83333333333334,48
2022,310390,ARAÚJOS,MG,B,41,74.54545454545455,55
2022,310400,ARAXÁ,MG,B,388,93.94673123486683,413
2022,310410,ARCEBURGO,MG,B,16,100,16
2022,310420,ARCOS,MG,B,265,84.93589743589743,312
2022,310430,AREADO,MG,B,169,86.66666666666667,195
2022,310440,ARGIRITA,MG,B,84,84.84848484848484,99
2022,310445,ARICANDUVA,MG,B,70,79.54545454545455,88
2022,310450,ARINOS,MG,B,369,77.35849056603774,477
2022,310470,ATALÉIA,MG,B,50,90.9090909090909,55
2022,310480,AUGUSTO DE LIMA,MG,B,50,73.52941176470588,68
2022,310490,BAEPENDI,MG,B,57,83.82352941176471,68
2022,310500,BALDIM,MG,B,97,84.34782608695653,115
2022,310510,BAMBUÍ,MG,B,211,90.17094017094017,234
2022,310520,BANDEIRA,MG,B,71,68.26923076923077,104
2022,310530,BANDEIRA DO SUL,MG,B,112,88.88888888888889,126
2022,310540,BARÃO DE COCAIS,MG,B,211,84.73895582329317,249
2022,310550,BARÃO DE MONTE ALTO,MG,B,52,96.29629629629629,54
2022,310560,BARBACENA,MG,B,645,82.6923076923077,780
2022,310590,BARROSO,MG,B,168,90.32258064516128,186
2022,310600,BELA VISTA DE MINAS,MG,B,291,91.50943396226415,318
2022,310610,BELMIRO BRAGA,MG,B,20,90.9090909090909,22
2022,310620,BELO HORIZONTE,MG,B,797,69.12402428447528,1153
2022,310630,BELO ORIENTE,MG,B,246,90.10989010989012,273
2022,310640,BELO VALE,MG,B,40,71.42857142857143,56
2022,310650,BERILO,MG,B,22,95.65217391304348,23
2022,310660,BERTÓPOLIS,MG,B,32,60.37735849056604,53
2022,310665,BERIZAL,MG,B,59,84.28571428571429,70
2022,310670,BETIM,MG,B,1191,86.87089715536105,1371
2022,310680,BIAS FORTES,MG,B,11,84.61538461538461,13
2022,310690,BICAS,MG,B,132,77.19298245614034,171
2022,310700,BIQUINHAS,MG,B,48,90.56603773584906,53
2022,310710,BOA ESPERANÇA,MG,B,76,88.37209302325581,86
2022,310720,BOCAINA DE MINAS,MG,B,25,86.20689655172413,29
2022,310730,BOCAIÚVA,MG,B,102,90.2654867256637,113
2022,310740,BOM DESPACHO,MG,B,232,82.26950354609929,282
2022,310750,BOM JARDIM DE MINAS,MG,B,56,87.5,64
2022,310760,BOM JESUS DA PENHA,MG,B,76,73.7864077669903,103
2022,310780,BOM JESUS DO GALHO,MG,B,284,89.0282131661442,319
2022,310790,BOM REPOUSO,MG,B,430,95.13274336283186,452
2022,310800,BOM SUCESSO,MG,B,36,83.72093023255815,43
2022,310810,BONFIM,MG,B,20,100,20
2022,310820,BONFINÓPOLIS DE MINAS,MG,B,100,87.71929824561403,114
2022,310825,BONITO DE MINAS,MG,B,278,84.49848024316108,329
2022,310830,BORDA DA MATA,MG,B,53,94.64285714285714,56
2022,310850,BOTUMIRIM,MG,B,35,74.46808510638297,47
2022,310855,BRASILÂNDIA DE MINAS,MG,B,71,85.54216867469879,83
2022,310860,BRASÍLIA DE MINAS,MG,B,74,75.51020408163265,98
2022,310870,BRÁS PIRES,MG,B,11,78.57142857142857,14
2022,310880,BRAÚNAS,MG,B,11,91.66666666666666,12
2022,310890,BRAZÓPOLIS,MG,B,111,81.02189781021897,137
2022,310900,BRUMADINHO,MG,B,393,89.31818181818181,440
2022,310910,BUENO BRANDÃO,MG,B,116,77.85234899328859,149
2022,310920,BUENÓPOLIS,MG,B,96,93.20388349514563,103
2022,310925,BUGRE,MG,B,69,90.78947368421053,76
2022,310930,BURITIS,MG,B,125,67.20430107526882,186
2022,310940,BURITIZEIRO,MG,B,830,85.39094650205762,972
2022,310945,CABECEIRA GRANDE,MG,B,28,58.333333333333336,48
2022,310950,CABO VERDE,MG,B,162,86.63101604278076,187
2022,310960,CACHOEIRA DA PRATA,MG,B,72,88.88888888888889,81
2022,310970,CACHOEIRA DE MINAS,MG,B,88,80,110
2022,310980,CACHOEIRA DOURADA,MG,B,40,95.23809523809523,42
2022,311000,CAETÉ,MG,B,78,92.85714285714286,84
2022,311020,CAJURI,MG,B,40,88.88888888888889,45
2022,311030,CALDAS,MG,B,298,94.6031746031746,315
2022,311060,CAMBUÍ,MG,B,189,85.9090909090909,220
2022,311070,CAMBUQUIRA,MG,B,38,73.07692307692307,52
2022,311080,CAMPANÁRIO,MG,B,22,88,25
2022,311090,CAMPANHA,MG,B,88,89.79591836734694,98
2022,311100,CAMPESTRE,MG,B,102,85.71428571428571,119
2022,311110,CAMPINA VERDE,MG,B,241,83.97212543554006,287
2022,311115,CAMPO AZUL,MG,B,24,92.3076923076923,26
2022,311120,CAMPO BELO,MG,B,620,87.6944837340877,707
2022,311130,CAMPO DO MEIO,MG,B,180,77.25321888412017,233
2022,311140,CAMPO FLORIDO,MG,B,19,95,20
2022,311150,CAMPOS ALTOS,MG,B,186,93.46733668341709,199
2022,311160,CAMPOS GERAIS,MG,B,232,85.92592592592592,270
2022,311170,CANAÃ,MG,B,45,76.27118644067797,59
2022,311180,CANÁPOLIS,MG,B,284,83.77581120943954,339
2022,311190,CANA VERDE,MG,B,32,96.96969696969697,33
2022,311200,CANDEIAS,MG,B,124,93.23308270676691,133
2022,311205,CANTAGALO,MG,B,26,100,26
2022,311210,CAPARAÓ,MG,B,66,94.28571428571428,70
2022,311220,CAPELA NOVA,MG,B,75,83.33333333333334,90
2022,311230,CAPELINHA,MG,B,474,69.2982456140351,684
2022,311240,CAPETINGA,MG,B,44,88,50
2022,311250,CAPIM BRANCO,MG,B,44,93.61702127659575,47
2022,311260,CAPINÓPOLIS,MG,B,301,80.0531914893617,376
2022,311270,CAPITÃO ENÉAS,MG,B,219,85.88235294117646,255
2022,311280,CAPITÓLIO,MG,B,14,87.5,16
2022,311290,CAPUTIRA,MG,B,231,78.30508474576271,295
2022,311300,CARAÍ,MG,B,116,78.37837837837837,148
2022,311310,CARANAÍBA,MG,B,51,56.666666666666664,90
2022,311320,CARANDAÍ,MG,B,303,90.44776119402985,335
2022,311330,CARANGOLA,MG,B,129,88.96551724137932,145
2022,311340,CARATINGA,MG,B,37,58.730158730158735,63
2022,311350,CARBONITA,MG,B,79,68.69565217391305,115
2022,311360,CAREAÇU,MG,B,12,8.053691275167784,149
2022,311370,CARLOS CHAGAS,MG,B,247,77.67295597484278,318
2022,311390,CARMO DA CACHOEIRA,MG,B,32,91.42857142857143,35
2022,311400,CARMO DA MATA,MG,B,173,94.53551912568307,183
2022,311410,CARMO DE MINAS,MG,B,404,94.83568075117371,426
2022,311420,CARMO DO CAJURU,MG,B,95,74.80314960629921,127
2022,311430,CARMO DO PARANAÍBA,MG,B,149,87.13450292397661,171
2022,311440,CARMO DO RIO CLARO,MG,B,86,90.52631578947368,95
2022,311450,CARMÓPOLIS DE MINAS,MG,B,184,77.31092436974791,238
2022,311455,CARNEIRINHO,MG,B,26,96.29629629629629,27
2022,311460,CARRANCAS,MG,B,41,85.41666666666666,48
2022,311480,CARVALHOS,MG,B,124,95.38461538461539,130
2022,311490,CASA GRANDE,MG,B,30,88.23529411764706,34
2022,311500,CASCALHO RICO,MG,B,27,100,27
2022,311510,CÁSSIA,MG,B,18,81.81818181818183,22
2022,311530,CATAGUASES,MG,B,49,89.0909090909091,55
2022,311540,CATAS ALTAS DA NORUEGA,MG,B,55,54.45544554455446,101
2022,311545,CATUJI,MG,B,227,93.80165289256198,242
2022,311547,CATUTI,MG,B,49,90.74074074074075,54
2022,311550,CAXAMBU,MG,B,28,96.55172413793103,29
2022,311570,CENTRAL DE MINAS,MG,B,15,57.692307692307686,26
2022,311580,CENTRALINA,MG,B,251,91.94139194139194,273
2022,311590,CHÁCARA,MG,B,32,100,32
2022,311600,CHALÉ,MG,B,17,94.44444444444444,18
2022,311610,CHAPADA DO NORTE,MG,B,234,82.68551236749117,283
2022,311615,CHAPADA GAÚCHA,MG,B,44,67.6923076923077,65
2022,311620,CHIADOR,MG,B,21,100,21
2022,311630,CIPOTÂNEA,MG,B,114,87.6923076923077,130
2022,311640,CLARAVAL,MG,B,46,90.19607843137256,51
2022,311650,CLARO DOS POÇÕES,MG,B,46,80.7017543859649,57
2022,311660,CLÁUDIO,MG,B,54,83.07692307692308,65
2022,311670,COIMBRA,MG,B,115,73.71794871794873,156
2022,311680,COLUNA,MG,B,69,75,92
2022,311690,COMENDADOR GOMES,MG,B,52,89.65517241379311,58
2022,311710,CONCEIÇÃO DA APARECIDA,MG,B,52,96.29629629629629,54
2022,311720,CONCEIÇÃO DAS PEDRAS,MG,B,81,96.42857142857143,84
2022,311730,CONCEIÇÃO DAS ALAGOAS,MG,B,93,95.87628865979381,97
2022,311740,CONCEIÇÃO DE IPANEMA,MG,B,28,66.66666666666666,42
2022,311750,CONCEIÇÃO DO MATO DENTRO,MG,B,185,82.58928571428571,224
2022,311760,CONCEIÇÃO DO PARÁ,MG,B,42,70,60
2022,311770,CONCEIÇÃO DO RIO VERDE,MG,B,253,93.7037037037037,270
2022,311780,CONCEIÇÃO DOS OUROS,MG,B,50,83.33333333333334,60
2022,311783,CÔNEGO MARINHO,MG,B,143,94.70198675496688,151
2022,311787,CONFINS,MG,B,38,52.054794520547944,73
2022,311790,CONGONHAL,MG,B,87,87,100
2022,311800,CONGONHAS,MG,B,50,76.92307692307693,65
2022,311810,CONGONHAS DO NORTE,MG,B,58,68.23529411764706,85
2022,311820,CONQUISTA,MG,B,25,80.64516129032258,31
2022,311830,CONSELHEIRO LAFAIETE,MG,B,760,77.00101317122594,987
2022,311840,CONSELHEIRO PENA,MG,B,116,96.66666666666667,120
2022,311850,CONSOLAÇÃO,MG,B,46,100,46
2022,311860,CONTAGEM,MG,B,603,93.7791601866252,643
2022,311870,COQUEIRAL,MG,B,259,98.10606060606061,264
